solver_id,phase,n,alpha,alpha_r,alpha_ci_lo,alpha_ci_hi,beta
2012MAHV01,full,3473,0.6819866874759415,0.9916846297877641,0.6203858207661869,0.8155539426763548,0.0318030518368847
2012MAHV01,early,1736,0.7808756040753274,0.9828840242160493,0.5940798292172819,0.8361008019265617,0.04647991708930883
2012MAHV01,late,1737,0.5319079875018159,0.9988807676226419,0.44047370201959474,0.5964263864889605,-0.006976748849296328
2012PARK03,full,3107,0.6192962513720154,0.9934364862081904,0.49981322371911086,0.7456425461361452,0.14661001153601178
2012PARK03,early,1553,0.5670987083839424,0.9918171499687702,0.4553033296537867,0.7016162517507576,0.13789787411517565
2012PARK03,late,1554,0.6033035014827618,0.9962766033906314,0.5727791713903154,0.7686303994207521,0.15097540306977386
2012REYE04,full,1699,0.5712846675111327,0.9965970107992574,0.49159748922236757,0.6007232024750957,0.0071580045076591785
2012REYE04,early,849,0.5381604539967275,0.9972828117363322,0.44706211868382356,0.599295225947827,0.030274768764606837
2012REYE04,late,850,0.5432360936507061,0.9957941770749855,0.45010910200936244,0.5837804095968214,0.01602678688720641
2013BURL01,full,2847,0.5060192771549751,0.9861750944414498,0.46195298717966843,0.6231030539775917,-0.07375019438417872
2013BURL01,early,1423,0.5166436799809528,0.9860401451462129,0.41303543997280207,0.5772587565253762,-0.05356287445417735
2013BURL01,late,1424,0.4679922525790802,0.997083280748204,0.4148035100196926,0.5351833689446592,-0.08061498937901189
2013DICK01,full,1952,0.5696082661288223,0.9972936019447849,0.5048173756592651,0.6509855213889405,0.047966888946505505
2013DICK01,early,976,0.6277274978207078,0.9947856624721331,0.5129230596023904,0.7013004372493837,0.03586159697388918
2013DICK01,late,976,0.5012603665454956,0.9947945417221808,0.41775303595399976,0.6004928763513885,0.015378588092653953
2013MART03,full,1872,0.7038358622292064,0.9918257052822681,0.5246712415333501,0.7511335540415006,0.0895621630137831
2013MART03,early,936,0.7201503837185744,0.9905619213246327,0.5789518550104447,0.7975299130835207,0.17716920960675556
2013MART03,late,936,0.4790909524232832,0.9945920363957216,0.4256675545027883,0.5764793234949365,-0.00339344775876279
2013PAPA01,full,1763,0.6499989548915834,0.9945169749746494,0.5578586305988797,0.728453684695414,0.14631437492830482
2013PAPA01,early,881,0.6781256568436639,0.9954733995779008,0.6109057268131847,0.792267005527443,0.11727814487048704
2013PAPA01,late,882,0.5468341294545225,0.9968941623713503,0.4386784468436148,0.5909878351586454,0.03493010025171725
2013ROGA02,full,3136,0.5679754369102546,0.9957680452998736,0.5099139062511794,0.6436652862356401,-0.047543632260181885
2013ROGA02,early,1568,0.6253591873376758,0.9877076597034451,0.5127554579953564,0.6859684082543127,-0.02258911595614195
2013ROGA02,late,1568,0.4685982278819539,0.9972599068964689,0.45415244749027733,0.5910000481466771,-0.06908647146782292
2013TOKA01,full,2450,0.5606539518178831,0.9944489460131191,0.5092860718373191,0.6657788487745642,0.04356305661873943
2013TOKA01,early,1225,0.5115569317042363,0.9917904289110975,0.425637923127993,0.5987740434294935,-0.027083542420397195
2013TOKA01,late,1225,0.570160665715295,0.9951083641296291,0.4778361338142447,0.6559222597219166,0.06931048656757753
2013WALL03,full,3512,0.46396592499178047,0.9956844365977688,0.41717190467908905,0.4924831113525723,-0.00910622787589146
2013WALL03,early,1756,0.4684344330225643,0.9917357561770512,0.40310980185801887,0.5219254186824278,0.019745163915908654
2013WALL03,late,1756,0.4936646384979844,0.9962095538028563,0.43612017393466734,0.5566492797288803,-0.025937685426940593
2014GOSL01,full,2411,0.573659944144555,0.9980744510254422,0.5234183908713405,0.6196987143238447,0.055863756809045075
2014GOSL01,early,1205,0.5732585298715968,0.9969093455618864,0.47802516314641064,0.6102930979978507,0.07960031610004835
2014GOSL01,late,1206,0.5587352762101402,0.9976258912924788,0.4852827234847672,0.6300401866867614,0.005870755858111564
2014JIME05,full,2703,0.5542671865389044,0.9983099470126079,0.49177480152693814,0.6014523361571799,0.030949754177962217
2014JIME05,early,1351,0.5214597208300011,0.9953866079990825,0.43493771411990195,0.564914238783601,0.051800097075487425
2014JIME05,late,1352,0.5709570669170541,0.9968754578863079,0.5044396461638939,0.6178406524427092,0.0532966724435952
2014PETE03,full,2771,0.5746270475282492,0.9964350526760387,0.4990817983198022,0.648768342654856,0.010896822759465664
2014PETE03,early,1385,0.5149734316624713,0.9978230993998068,0.4124009709701085,0.5758363138314109,0.00416092049809987
2014PETE03,late,1386,0.5376933243955837,0.9967855924222716,0.5102040497131506,0.6785211476320593,0.09235286704612455
2014SEBA01,full,2964,0.5696868250304122,0.9966997704613595,0.4770594542542673,0.6433570703134693,0.04339330456387628
2014SEBA01,early,1482,0.5432309374124923,0.9869172080728946,0.4404709788404497,0.6313537502356842,-0.016100227744433784
2014SEBA01,late,1482,0.5559390813406434,0.9971862384959606,0.47253636498696344,0.6316292847352292,0.05258023813555721
2014ZAKR01,full,3240,0.5592954299944617,0.9944850734636265,0.5066815765578565,0.6522881554030321,-0.039385097673580886
2014ZAKR01,early,1620,0.5871737729905858,0.9941536946463829,0.500809692251573,0.6874763764791685,-0.016780918744899575
2014ZAKR01,late,1620,0.44641355863092513,0.9954326358995805,0.399531530610162,0.5530782928982881,-0.045773205192728955
2015KUCA01,full,3040,0.6001840996626312,0.9960015079376252,0.5239105915305904,0.6242066291174638,0.008409458264363281
2015KUCA01,early,1520,0.5700583128001224,0.9926260113423896,0.47631356945205006,0.6042806410053775,-0.022806453474012774
2015KUCA01,late,1520,0.5913879995361896,0.9963412964561386,0.43519285061600305,0.6828337731638253,0.02487395304191397
2015NICH04,full,2111,0.6153867281338156,0.9957351365565535,0.5232571932375992,0.6771323824715993,0.0643297190120568
2015NICH04,early,1055,0.5577228043049612,0.9921173968597736,0.4853766817310893,0.6222183990022653,0.06693991446966381
2015NICH04,late,1056,0.6094453687819545,0.9954813414521367,0.48859178605653636,0.6383838902667899,0.03070493888352353
2015SANC18,full,2069,0.5579161707370925,0.9980373828756247,0.46747661479918656,0.6052221237986104,0.06386963303848119
2015SANC18,early,1034,0.5575215398447428,0.9940587069759078,0.46967529889575477,0.6413883986133193,0.06167137051964641
